book,abbrev,biblicalOrder,chapter,verses
1+Chronicles,1 Chr,13,1,54
1+Chronicles,1 Chr,13,2,55
1+Chronicles,1 Chr,13,3,24
1+Chronicles,1 Chr,13,4,43
1+Chronicles,1 Chr,13,5,41
1+Chronicles,1 Chr,13,6,66
1+Chronicles,1 Chr,13,7,40
1+Chronicles,1 Chr,13,8,40
1+Chronicles,1 Chr,13,9,44
1+Chronicles,1 Chr,13,10,14
1+Chronicles,1 Chr,13,11,47
1+Chronicles,1 Chr,13,12,41
1+Chronicles,1 Chr,13,13,14
1+Chronicles,1 Chr,13,14,17
1+Chronicles,1 Chr,13,15,29
1+Chronicles,1 Chr,13,16,43
1+Chronicles,1 Chr,13,17,27
1+Chronicles,1 Chr,13,18,17
1+Chronicles,1 Chr,13,19,19
1+Chronicles,1 Chr,13,20,8
1+Chronicles,1 Chr,13,21,30
1+Chronicles,1 Chr,13,22,19
1+Chronicles,1 Chr,13,23,32
1+Chronicles,1 Chr,13,24,31
1+Chronicles,1 Chr,13,25,31
1+Chronicles,1 Chr,13,26,32
1+Chronicles,1 Chr,13,27,34
1+Chronicles,1 Chr,13,28,21
1+Chronicles,1 Chr,13,29,30
1+Corinthians,1 Cor,53,1,31
1+Corinthians,1 Cor,53,2,16
1+Corinthians,1 Cor,53,3,23
1+Corinthians,1 Cor,53,4,21
1+Corinthians,1 Cor,53,5,13
1+Corinthians,1 Cor,53,6,20
1+Corinthians,1 Cor,53,7,40
1+Corinthians,1 Cor,53,8,13
1+Corinthians,1 Cor,53,9,27
1+Corinthians,1 Cor,53,10,33
1+Corinthians,1 Cor,53,11,34
1+Corinthians,1 Cor,53,12,31
1+Corinthians,1 Cor,53,13,13
1+Corinthians,1 Cor,53,14,40
1+Corinthians,1 Cor,53,15,58
1+Corinthians,1 Cor,53,16,24
1+John,1 Jn,69,1,10
1+John,1 Jn,69,2,29
1+John,1 Jn,69,3,24
1+John,1 Jn,69,4,21
1+John,1 Jn,69,5,21
1+Kings,1 Kgs,11,1,53
1+Kings,1 Kgs,11,2,46
1+Kings,1 Kgs,11,3,28
1+Kings,1 Kgs,11,4,20
1+Kings,1 Kgs,11,5,32
1+Kings,1 Kgs,11,6,38
1+Kings,1 Kgs,11,7,51
1+Kings,1 Kgs,11,8,66
1+Kings,1 Kgs,11,9,28
1+Kings,1 Kgs,11,10,29
1+Kings,1 Kgs,11,11,43
1+Kings,1 Kgs,11,12,33
1+Kings,1 Kgs,11,13,34
1+Kings,1 Kgs,11,14,31
1+Kings,1 Kgs,11,15,34
1+Kings,1 Kgs,11,16,34
1+Kings,1 Kgs,11,17,24
1+Kings,1 Kgs,11,18,46
1+Kings,1 Kgs,11,19,21
1+Kings,1 Kgs,11,20,43
1+Kings,1 Kgs,11,21,29
1+Kings,1 Kgs,11,22,54
1+Maccabees,1 Mc,20,1,63
1+Maccabees,1 Mc,20,2,70
1+Maccabees,1 Mc,20,3,59
1+Maccabees,1 Mc,20,4,61
1+Maccabees,1 Mc,20,5,68
1+Maccabees,1 Mc,20,6,63
1+Maccabees,1 Mc,20,7,50
1+Maccabees,1 Mc,20,8,32
1+Maccabees,1 Mc,20,9,73
1+Maccabees,1 Mc,20,10,89
1+Maccabees,1 Mc,20,11,74
1+Maccabees,1 Mc,20,12,53
1+Maccabees,1 Mc,20,13,53
1+Maccabees,1 Mc,20,14,49
1+Maccabees,1 Mc,20,15,41
1+Maccabees,1 Mc,20,16,24
1+Peter,1 Pt,67,1,25
1+Peter,1 Pt,67,2,25
1+Peter,1 Pt,67,3,22
1+Peter,1 Pt,67,4,19
1+Peter,1 Pt,67,5,14
1+Samuel,1 Sm,9,1,28
1+Samuel,1 Sm,9,2,36
1+Samuel,1 Sm,9,3,21
1+Samuel,1 Sm,9,4,22
1+Samuel,1 Sm,9,5,12
1+Samuel,1 Sm,9,6,21
1+Samuel,1 Sm,9,7,17
1+Samuel,1 Sm,9,8,22
1+Samuel,1 Sm,9,9,27
1+Samuel,1 Sm,9,10,27
1+Samuel,1 Sm,9,11,15
1+Samuel,1 Sm,9,12,25
