BOOK_ORDER,BOOK_ABBREV,BOOK,CHAPTER,VERSE,READING
13,1 Chr,1+Chronicles,11,1,
13,1 Chr,1+Chronicles,11,10,
13,1 Chr,1+Chronicles,11,11,
13,1 Chr,1+Chronicles,11,12,
13,1 Chr,1+Chronicles,11,13,
13,1 Chr,1+Chronicles,11,14,
13,1 Chr,1+Chronicles,11,15,
13,1 Chr,1+Chronicles,11,16,
13,1 Chr,1+Chronicles,11,17,
13,1 Chr,1+Chronicles,11,18,
13,1 Chr,1+Chronicles,11,19,
13,1 Chr,1+Chronicles,11,2,
13,1 Chr,1+Chronicles,11,20,
13,1 Chr,1+Chronicles,11,21,
13,1 Chr,1+Chronicles,11,22,
13,1 Chr,1+Chronicles,11,23,
13,1 Chr,1+Chronicles,11,24,
13,1 Chr,1+Chronicles,11,25,
13,1 Chr,1+Chronicles,11,26,
13,1 Chr,1+Chronicles,11,27,
13,1 Chr,1+Chronicles,11,28,
13,1 Chr,1+Chronicles,11,29,
13,1 Chr,1+Chronicles,11,3,
13,1 Chr,1+Chronicles,11,30,
13,1 Chr,1+Chronicles,11,31,
13,1 Chr,1+Chronicles,11,32,
13,1 Chr,1+Chronicles,11,33,
13,1 Chr,1+Chronicles,11,34,
13,1 Chr,1+Chronicles,11,35,
13,1 Chr,1+Chronicles,11,36,
13,1 Chr,1+Chronicles,11,37,
13,1 Chr,1+Chronicles,11,38,
13,1 Chr,1+Chronicles,11,39,
13,1 Chr,1+Chronicles,11,4,
13,1 Chr,1+Chronicles,11,40,
13,1 Chr,1+Chronicles,11,41,
13,1 Chr,1+Chronicles,11,42,
13,1 Chr,1+Chronicles,11,43,
13,1 Chr,1+Chronicles,11,44,
13,1 Chr,1+Chronicles,11,45,
13,1 Chr,1+Chronicles,11,46,
13,1 Chr,1+Chronicles,11,47,
13,1 Chr,1+Chronicles,11,5,
13,1 Chr,1+Chronicles,11,6,
13,1 Chr,1+Chronicles,11,7,
13,1 Chr,1+Chronicles,11,8,
13,1 Chr,1+Chronicles,11,9,
13,1 Chr,1+Chronicles,12,1,
13,1 Chr,1+Chronicles,12,10,
13,1 Chr,1+Chronicles,12,11,
13,1 Chr,1+Chronicles,12,12,
13,1 Chr,1+Chronicles,12,13,
13,1 Chr,1+Chronicles,12,14,
13,1 Chr,1+Chronicles,12,15,
13,1 Chr,1+Chronicles,12,16,
13,1 Chr,1+Chronicles,12,17,
13,1 Chr,1+Chronicles,12,18,
13,1 Chr,1+Chronicles,12,19,
13,1 Chr,1+Chronicles,12,2,
13,1 Chr,1+Chronicles,12,20,
13,1 Chr,1+Chronicles,12,21,
13,1 Chr,1+Chronicles,12,22,
13,1 Chr,1+Chronicles,12,23,
13,1 Chr,1+Chronicles,12,24,
13,1 Chr,1+Chronicles,12,25,
13,1 Chr,1+Chronicles,12,26,
13,1 Chr,1+Chronicles,12,27,
13,1 Chr,1+Chronicles,12,28,
13,1 Chr,1+Chronicles,12,29,
13,1 Chr,1+Chronicles,12,3,
13,1 Chr,1+Chronicles,12,30,
13,1 Chr,1+Chronicles,12,31,
13,1 Chr,1+Chronicles,12,32,
13,1 Chr,1+Chronicles,12,33,
13,1 Chr,1+Chronicles,12,34,
13,1 Chr,1+Chronicles,12,35,
13,1 Chr,1+Chronicles,12,36,
13,1 Chr,1+Chronicles,12,37,
13,1 Chr,1+Chronicles,12,38,
13,1 Chr,1+Chronicles,12,39,
13,1 Chr,1+Chronicles,12,4,
13,1 Chr,1+Chronicles,12,40,
13,1 Chr,1+Chronicles,12,41,
13,1 Chr,1+Chronicles,12,5,
13,1 Chr,1+Chronicles,12,6,
13,1 Chr,1+Chronicles,12,7,
13,1 Chr,1+Chronicles,12,8,
13,1 Chr,1+Chronicles,12,9,
13,1 Chr,1+Chronicles,1,1,
13,1 Chr,1+Chronicles,1,10,
13,1 Chr,1+Chronicles,1,11,
13,1 Chr,1+Chronicles,1,12,
13,1 Chr,1+Chronicles,1,13,
13,1 Chr,1+Chronicles,1,14,
13,1 Chr,1+Chronicles,1,15,
13,1 Chr,1+Chronicles,1,16,
13,1 Chr,1+Chronicles,1,17,
13,1 Chr,1+Chronicles,1,18,
13,1 Chr,1+Chronicles,1,19,
13,1 Chr,1+Chronicles,1,2,
13,1 Chr,1+Chronicles,1,20,
13,1 Chr,1+Chronicles,1,21,
13,1 Chr,1+Chronicles,1,22,
13,1 Chr,1+Chronicles,1,23,
13,1 Chr,1+Chronicles,1,24,
13,1 Chr,1+Chronicles,1,25,
13,1 Chr,1+Chronicles,1,26,
13,1 Chr,1+Chronicles,1,27,
13,1 Chr,1+Chronicles,1,28,
13,1 Chr,1+Chronicles,1,29,
13,1 Chr,1+Chronicles,1,3,
13,1 Chr,1+Chronicles,1,30,
13,1 Chr,1+Chronicles,1,31,
13,1 Chr,1+Chronicles,1,32,
13,1 Chr,1+Chronicles,1,33,
13,1 Chr,1+Chronicles,1,34,
13,1 Chr,1+Chronicles,1,35,
13,1 Chr,1+Chronicles,1,36,
13,1 Chr,1+Chronicles,1,37,
13,1 Chr,1+Chronicles,1,38,
13,1 Chr,1+Chronicles,1,39,
13,1 Chr,1+Chronicles,1,4,
13,1 Chr,1+Chronicles,1,40,
13,1 Chr,1+Chronicles,1,41,
13,1 Chr,1+Chronicles,1,42,
13,1 Chr,1+Chronicles,1,43,
13,1 Chr,1+Chronicles,1,44,
13,1 Chr,1+Chronicles,1,45,
13,1 Chr,1+Chronicles,1,46,
13,1 Chr,1+Chronicles,1,47,
13,1 Chr,1+Chronicles,1,48,
13,1 Chr,1+Chronicles,1,49,
13,1 Chr,1+Chronicles,1,5,
13,1 Chr,1+Chronicles,1,50,
13,1 Chr,1+Chronicles,1,51,
13,1 Chr,1+Chronicles,1,52,
13,1 Chr,1+Chronicles,1,53,
13,1 Chr,1+Chronicles,1,54,
13,1 Chr,1+Chronicles,1,6,
13,1 Chr,1+Chronicles,1,7,
13,1 Chr,1+Chronicles,1,8,
13,1 Chr,1+Chronicles,1,9,
13,1 Chr,1+Chronicles,10,1,
13,1 Chr,1+Chronicles,10,10,
13,1 Chr,1+Chronicles,10,11,
13,1 Chr,1+Chronicles,10,12,
13,1 Chr,1+Chronicles,10,13,
13,1 Chr,1+Chronicles,10,14,
13,1 Chr,1+Chronicles,10,2,
13,1 Chr,1+Chronicles,10,3,
13,1 Chr,1+Chronicles,10,4,
13,1 Chr,1+Chronicles,10,5,
13,1 Chr,1+Chronicles,10,6,
13,1 Chr,1+Chronicles,10,7,
13,1 Chr,1+Chronicles,10,8,
13,1 Chr,1+Chronicles,10,9,
13,1 Chr,1+Chronicles,13,1,
13,1 Chr,1+Chronicles,13,10,
13,1 Chr,1+Chronicles,13,11,
13,1 Chr,1+Chronicles,13,12,
13,1 Chr,1+Chronicles,13,13,
13,1 Chr,1+Chronicles,13,14,
13,1 Chr,1+Chronicles,13,2,
13,1 Chr,1+Chronicles,13,3,
13,1 Chr,1+Chronicles,13,4,
13,1 Chr,1+Chronicles,13,5,
13,1 Chr,1+Chronicles,13,6,
13,1 Chr,1+Chronicles,13,7,
13,1 Chr,1+Chronicles,13,8,
13,1 Chr,1+Chronicles,13,9,
13,1 Chr,1+Chronicles,14,1,
13,1 Chr,1+Chronicles,14,10,
13,1 Chr,1+Chronicles,14,11,
13,1 Chr,1+Chronicles,14,12,
13,1 Chr,1+Chronicles,14,13,
13,1 Chr,1+Chronicles,14,14,
13,1 Chr,1+Chronicles,14,15,
13,1 Chr,1+Chronicles,14,16,
13,1 Chr,1+Chronicles,14,17,
13,1 Chr,1+Chronicles,14,2,
13,1 Chr,1+Chronicles,14,3,
